time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-04-08 17:27:07,39.1016948516283,-96.5962284861281,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1112.3357212903,0.656168,0,0,0,15,4,0,1112.3357212903,0,0,0,0,0,0,259.8, -1.9, 1.2,0,0,364,393,364,1635,-100,-96,-100,93,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (1640ft). Please fly with caution."
100,2024-04-08 17:27:07,39.1016948047874,-96.5962284947854,0,,,1112.3357212903,0.656168,0,0.017264764332,0.017264764332,15,4,0,1112.3357212903,0,0,0.017264764332,0,0,0,259.8, -1.9, 1.2,0,0,364,385,364,1644,-100,-97,-100,94,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
200,2024-04-08 17:27:07,39.1016949185977,-96.5962287905629,0,,,1112.3357212903,0.656168,0,0.089591866384,0.110738520604,15,4,0,1112.3357212903,0,0,0.089591866384,0,0,0,259.8, -1.9, 1.2,0,0,364,364,364,1647,-100,-100,-100,94,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
300,2024-04-08 17:27:07,39.1016948873526,-96.5962288249809,0,,,1112.3357212903,0.656168,0,0.096821853492,0.125735896412,15,4,0,1112.3357212903,0,0,0.096821853492,0,0,0,259.8, -1.8, 1.2,0,0,364,364,364,1647,-100,-100,-100,94,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
400,2024-04-08 17:27:07,39.1016948114938,-96.5962289196905,0,,,1112.3357212903,0.656168,0,0.123626316292,0.164272643052,15,4,0,1112.3357212903,0,0,0.123626316292,0,0,0,259.8, -1.8, 1.2,0,0,364,375,364,1654,-100,-98,-100,95,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
500,2024-04-08 17:27:07,39.1016947783546,-96.5962289608676,0,,,1112.3357212903,0.656168,0,0.13704724848,0.181068903432,15,4,0,1112.3357212903,0,0,0.13704724848,0,0,0,259.8, -1.9, 1.2,0,0,364,464,459,1603,-100,-85,-86,88,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
600,2024-04-08 17:27:07,39.1016947033234,-96.5962290425914,0,,,1112.3357212903,0.656168,0,0.166585635252,0.2169127366,15,4,0,1112.3357212903,0,0,0.166585635252,0,0,0,259.8, -1.9, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 33. Setting new Maximum Flight Altitude to 61m (200 ft)"
700,2024-04-08 17:27:07,39.1016946679339,-96.5962290882923,0,,,1112.3357212903,0.656168,0,0.183192591164,0.235192592828,16,4,0,1112.3357212903,0,0,0.183192591164,0,0,0,259.8, -1.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
800,2024-04-08 17:27:07,39.1016945944926,-96.5962293149993,0,,,1112.3357212903,0.656168,0,0.252738197064,0.3047490255,16,4,0,1112.3357212903,0,0,0.252738197064,0,0,0,259.8, -1.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
900,2024-04-08 17:27:08,39.1016945570414,-96.596229378488,0,,,1112.3357212903,0.656168,0,0.274567594088,0.327328422548,16,4,0,1112.3357212903,0,0,0.274567594088,0,0,0,259.8, -1.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
1000,2024-04-08 17:27:08,39.1016944931128,-96.5962292405056,0,,,1112.3357212903,0.656168,0,0.250459981768,0.37282809592,16,4,0,1112.3357212903,0,0,0.274567594088,0,0,0,259.7, -1.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
1100,2024-04-08 17:27:08,39.1016944542409,-96.5962292884682,0,,,1112.3357212903,0.656168,0,0.269493775028,0.39246392332,16,4,0,1112.3357212903,0,0,0.274567594088,0,0,0,259.7, -1.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,96.44,1112.3357212903,0,41,Motors_Started,
