SlideID,FOV,TotalSpores
5A_B,34,0
5A_B,35,0
5A_B,36,0
5A_B,37,0
5A_B,38,0
5A_B,39,0
5A_B,40,1
11A_C,1,0
11A_C,2,0
11A_C,3,0
11A_C,4,0
11A_C,5,0
11A_C,6,0
11A_C,7,1
11A_C,8,0
11A_C,9,0
11A_C,10,0
11A_C,11,0
11A_C,12,0
11A_C,13,0
11A_C,14,0
11A_C,15,0
11A_C,16,0
11A_C,17,0
11A_C,18,2
11A_C,19,0
11A_C,20,0
11A_C,21,0
11A_C,22,0
11A_C,23,0
11A_C,24,0
11A_C,25,0
11A_C,26,0
11A_C,27,0
11A_C,28,0
11A_C,29,0
11A_C,30,0
11A_C,31,0
11A_C,32,0
11A_C,33,0
11A_C,34,0
11A_C,35,0
11A_C,36,0
11A_C,37,0
11A_C,38,0
11A_C,39,2
11A_C,40,0
12A_B,1,0
12A_B,2,0
12A_B,3,0
12A_B,4,0
12A_B,5,0
12A_B,6,0
12A_B,7,0
12A_B,8,1
12A_B,9,2
12A_B,10,0
12A_B,11,1
12A_B,12,1
12A_B,13,0
12A_B,14,0
12A_B,15,0
12A_B,16,1
12A_B,17,0
12A_B,18,0
12A_B,19,1
12A_B,20,0
12A_B,21,0
12A_B,22,1
12A_B,23,1
12A_B,24,1
12A_B,25,1
12A_B,26,0
12A_B,27,1
12A_B,28,1
12A_B,29,1
12A_B,30,0
12A_B,31,1
12A_B,32,2
12A_B,33,4
12A_B,34,2
12A_B,35,1
12A_B,36,1
12A_B,37,0
12A_B,38,0
12A_B,39,0
12A_B,40,0
13A_B,1,1
13A_B,2,0
13A_B,3,0
13A_B,4,0
13A_B,5,0
13A_B,6,1
13A_B,7,1
13A_B,8,0
13A_B,9,0
13A_B,10,0
13A_B,11,0
13A_B,12,0
13A_B,13,1
13A_B,14,1
13A_B,15,0
13A_B,16,0
13A_B,17,0
13A_B,18,1
13A_B,19,0
13A_B,20,0
13A_B,21,1
13A_B,22,2
13A_B,23,3
13A_B,24,0
13A_B,25,2
13A_B,26,0
13A_B,27,1
13A_B,28,0
13A_B,29,1
13A_B,30,0
13A_B,31,0
13A_B,32,0
13A_B,33,2
13A_B,34,0
13A_B,35,0
13A_B,36,0
13A_B,37,0
13A_B,38,0
13A_B,39,0
13A_B,40,1
14A_B,1,1
14A_B,2,0
14A_B,3,0
14A_B,4,0
14A_B,5,1
14A_B,6,1
14A_B,7,0
14A_B,8,0
14A_B,9,0
14A_B,10,0
14A_B,11,0
14A_B,12,0
14A_B,13,0
14A_B,14,0
14A_B,15,0
14A_B,16,1
14A_B,17,0
14A_B,18,0
14A_B,19,1
14A_B,20,1
14A_B,21,1
14A_B,22,0
14A_B,23,0
14A_B,24,0
14A_B,25,1
14A_B,26,1
14A_B,27,0
14A_B,28,1
14A_B,29,0
14A_B,30,0
14A_B,31,0
14A_B,32,0
14A_B,33,0
14A_B,34,3
14A_B,35,0
14A_B,36,0
14A_B,37,0
14A_B,38,0
14A_B,39,1
14A_B,40,0
LabBlank_E_20240703,1,0
LabBlank_E_20240703,2,0
LabBlank_E_20240703,3,0
LabBlank_E_20240703,4,0
LabBlank_E_20240703,5,0
LabBlank_E_20240703,6,0
LabBlank_E_20240703,7,0
LabBlank_E_20240703,8,0
LabBlank_E_20240703,9,0
LabBlank_E_20240703,10,0
LabBlank_E_20240703,11,0
LabBlank_E_20240703,12,0
LabBlank_E_20240703,13,0
LabBlank_E_20240703,14,0
LabBlank_E_20240703,15,0
LabBlank_E_20240703,16,0
LabBlank_E_20240703,17,0
LabBlank_E_20240703,18,0
LabBlank_E_20240703,19,0
LabBlank_E_20240703,20,0
LabBlank_E_20240703,21,0
LabBlank_E_20240703,22,0
LabBlank_E_20240703,23,0
LabBlank_E_20240703,24,0
LabBlank_E_20240703,25,0
LabBlank_E_20240703,26,0
LabBlank_E_20240703,27,0
LabBlank_E_20240703,28,0
LabBlank_E_20240703,29,0
LabBlank_E_20240703,30,0
LabBlank_E_20240703,31,0
LabBlank_E_20240703,32,0
LabBlank_E_20240703,33,0
LabBlank_E_20240703,34,0
LabBlank_E_20240703,35,0
LabBlank_E_20240703,36,0
LabBlank_E_20240703,37,0
LabBlank_E_20240703,38,0
LabBlank_E_20240703,39,0
LabBlank_E_20240703,40,0
FieldBlank3B_B,1,0
FieldBlank3B_B,2,0
FieldBlank3B_B,3,0
FieldBlank3B_B,4,0
FieldBlank3B_B,5,0
FieldBlank3B_B,6,0
FieldBlank3B_B,7,0
FieldBlank3B_B,8,0
FieldBlank3B_B,9,0
FieldBlank3B_B,10,0
FieldBlank3B_B,11,0
