UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b
2023/10/10T00:00:02z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,25,24,709.79,nan,36656,0,33,0,0,0,0,0,0,0,0,30,18,0,0,0,0,0,0,0,0,0,0,0,0,42,27,0,0,0
2023/10/10T00:00:10z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,25,24,709.82,0,36568,0,41,0,0,0,0,0,0,0,0,51.67,31.67,0,0,0,0,0,0,0,0,0,0,0,0,56.33,31.33,0,0,0
2023/10/10T00:00:18z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.85,0,36568,0,49,0,0,0,0,0,0,0,0,49.75,38,0,0,0,0,0,0,0,0,0,0,0,0,60,31,0,0,0
2023/10/10T00:00:26z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.81,0,36568,0,57,0,0,0,0,0,0,0,0,53,43,0,0,0,0,0,0,0,0,0,0,0,0,58,37,0,0,0
2023/10/10T00:00:34z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.81,0,36568,0,65,0,0,0,0,0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0,52.5,40.25,0,0,0
2023/10/10T00:00:42z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.8,0,36568,0,73,0,0,0,0,0,0,0,0,38.33,25.33,0,0,0,0,0,0,0,0,0,0,0,0,62.75,45.5,0,0,0
2023/10/10T00:00:50z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.82,0,36568,0,81,0,0,0,0,0,0,0,0,47,23.75,0,0,0,0,0,0,0,0,0,0,0,0,51,31,0,0,0
2023/10/10T00:00:58z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,26,25,709.8,0,36568,0,89,0,0,0,0,0,0,0,0,40,20.75,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,0,0
2023/10/10T00:01:06z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,25,24,709.81,0,36568,0,97,0,0,0,0,0,0,0,0,41,21,0,0,0,0,0,0,0,0,0,0,0,0,49.25,35,0,0,0
2023/10/10T00:01:14z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,60,25,24,709.85,0,36568,0,105,0,0,0,0,0,0,0,0,41,21,0,0,0,0,0,0,0,0,0,0,0,0,50,40.5,0,0,0
