SampleID,Copies.ul_DNA
B1A,526.763
B2A,485.430
B3A,"1,207.788"
R4A,35.053
R5A,BDL
R6A,160.520
R7A,14.133
B4A,86.542
R8A,739.941
B5A,143.557
R9A,643.593
B6A,52.387
R10A,70.002
B7A,195.693
R11A,256.582
B8A,28.490
R12A,118.936
B9A,238.104
R13A,143.469
B10A,736.608
R14A,995.725
B11A,413.783
R15A,BDL
B12A,"1,879.929"
negative.control.triton.x,BDL
positive.control.triton.x,"5,202,621.000"
Blank.1A,BDL
Blank.2A,14.829
Blank.3A,15.354
