UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b
2024/04/10T14:47:33z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.25,nan,36704,0,30,22.2,39.2,47.8,22.2,38.6,47.8,111,110,3040.2,881.8,199,39.2,8,5.6,26,41,47,25,38,47,116,108,3798,1106,224,28,4
2024/04/10T14:47:41z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.27,0.04,36616,0,38,18,32,44,18,32,44,94,94,2364,710.67,175.67,42,12,10,27,43.6,48,25,40,48,122,113,4137.6,1176.4,249.2,26,2
2024/04/10T14:47:49z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.28,0.04,36616,0,46,21.5,33.5,41.5,21.5,33.5,41.5,97,97,2862,831,177.5,34,9,8,32.5,51.25,56,28.5,44,53.75,141,123,5272.5,1471,270.5,32,5.5
2024/04/10T14:47:57z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.26,0.04,36616,0,54,23.75,34.5,40.5,23,34.5,40.5,99,99,3259.5,934,181,27,7,6,33.75,54.25,58,29,45.25,54.5,148,126,5509.5,1547,251.5,42.5,4
2024/04/10T14:48:05z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.29,0.04,36616,0,62,24.25,39.25,43.5,23.25,37.25,43.5,111,107,3728.25,1046.75,214.5,32,4.5,1.5,32.67,47.33,51.33,27.67,40.67,50.33,131,115,5090,1430.67,222,28,5.33
2024/04/10T14:48:13z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.24,0.04,36616,0,70,21.6,36.4,46.2,21,35,46,104,100,3604.8,987.4,197.8,45.2,10,4.8,32,45.67,49.33,27,40,49.33,127,113,4886,1396,206.67,24.67,4
2024/04/10T14:48:21z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.23,0.04,36616,0,78,12,24.5,28,12,24.5,28,78,78,2289,600,141,33,4,2,29.6,46.8,49.8,26.2,40.8,49,130,115,4969.2,1391.2,224.4,28,4
2024/04/10T14:48:29z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.26,0.04,36616,0,86,12,24,28,12,24,28,77,77,2238,588,136,34,6,2,31,46,50,27,41,49,128,116,5084.4,1422.4,230.4,25.6,4
2024/04/10T14:48:37z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.29,0.04,36616,0,94,11,21.6,28.2,11,21.6,28.2,71,71,2208,578.6,125.8,35.2,6,4,30,42,45,26,38,45,118,108,5054,1382.67,208,17.33,4
2024/04/10T14:48:45z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,37,35,963.26,0.04,36616,0,102,18.4,31.4,37.2,18.4,31.4,37.2,92,92,3151.8,861.8,163.8,39.6,5.6,3.6,30,42,45,25,37,45,118,106,5082,1388,208,16,4
2024/04/10T14:49:14z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,36,35,963.26,nan,36704,0,29,21.6,33.2,39,21.4,33,39,96,96,3145.8,910.8,165.4,31.2,6.4,5.6,27,41,49,24,37,48,116,106,4578,1278,202,34,10
2024/04/10T14:49:22z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,36,35,963.23,0.04,36616,0,37,24,40,48,23,37.33,48,113,107,4449,1153.67,216.67,44.67,8.67,5.33,27,41.8,48.2,24,37.4,47.8,118,107,4542,1271.2,212,32.4,8.8
2024/04/10T14:49:30z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,62,36,35,963.28,0.04,36616,0,45,24.5,40.5,48,23.5,37,48,114,106,4411.5,1180,220,41,7,6,26.8,40.6,45.6,24,37,45.6,115,106,4459.2,1250,212,28,5.6
2024/04/10T14:49:38z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,63,36,36,963.29,0.04,36616,0,53,23,38.75,49,22,36.25,49,110,104,4071.75,1122.75,219.25,41,10,8,27.75,45,45.5,24.75,39.75,45.5,126,113,4813.5,1348,218,32.5,1
