SlideID,FOV,TotalSpores
B12B_B,33,0.00
B12B_B,34,1.00
B12B_B,35,0.00
B12B_B,36,0.00
B12B_B,37,2.00
B12B_B,38,0.00
B12B_B,39,0.00
B12B_B,40,2.00
B11B_B,1,15.00
B11B_B,2,10.00
B11B_B,3,1.00
B11B_B,4,3.00
B11B_B,5,6.00
B11B_B,6,22.00
B11B_B,7,4.00
B11B_B,8,2.00
B11B_B,9,3.00
B11B_B,10,16.00
B11B_B,11,6.00
B11B_B,12,0.00
B11B_B,13,5.00
B11B_B,14,2.00
B11B_B,15,4.00
B11B_B,16,5.00
B11B_B,17,5.00
B11B_B,18,7.00
B11B_B,19,0.00
B11B_B,20,4.00
B11B_B,21,3.00
B11B_B,22,1.00
B11B_B,23,4.00
B11B_B,24,3.00
B11B_B,25,2.00
B11B_B,26,12.00
B11B_B,27,1.00
B11B_B,28,2.00
B11B_B,29,4.00
B11B_B,30,4.00
B11B_B,31,3.00
B11B_B,32,3.00
B11B_B,33,2.00
B11B_B,34,1.00
B11B_B,35,2.00
B11B_B,36,5.00
B11B_B,37,4.00
B11B_B,38,2.00
B11B_B,39,2.00
B11B_B,40,0.00
B10B_B,1,10.00
B10B_B,2,13.00
B10B_B,3,5.00
B10B_B,4,3.00
B10B_B,5,1.00
B10B_B,6,2.00
B10B_B,7,1.00
B10B_B,8,0.00
B10B_B,9,1.00
B10B_B,10,7.00
B10B_B,11,5.00
B10B_B,12,1.00
B10B_B,13,5.00
B10B_B,14,2.00
B10B_B,15,0.00
B10B_B,16,2.00
B10B_B,17,8.00
B10B_B,18,3.00
B10B_B,19,2.00
B10B_B,20,1.00
B10B_B,21,1.00
B10B_B,22,2.00
B10B_B,23,1.00
B10B_B,24,3.00
B10B_B,25,3.00
B10B_B,26,1.00
B10B_B,27,1.00
B10B_B,28,6.00
B10B_B,29,0.00
B10B_B,30,2.00
B10B_B,31,0.00
B10B_B,32,1.00
B10B_B,33,3.00
B10B_B,34,5.00
B10B_B,35,1.00
B10B_B,36,0.00
B10B_B,37,2.00
B10B_B,38,4.00
B10B_B,39,6.00
B10B_B,40,3.00
B2B_B,1,1.00
B2B_B,2,3.00
B2B_B,3,0.00
B2B_B,4,0.00
B2B_B,5,0.00
B2B_B,6,4.00
B2B_B,7,1.00
B2B_B,8,0.00
B2B_B,9,0.00
B2B_B,10,4.00
B2B_B,11,1.00
B2B_B,12,0.00
B2B_B,13,0.00
B2B_B,14,5.00
B2B_B,15,2.00
B2B_B,16,1.00
B2B_B,17,4.00
B2B_B,18,2.00
B2B_B,19,3.00
B2B_B,20,0.00
B2B_B,21,0.00
B2B_B,22,0.00
B2B_B,23,1.00
B2B_B,24,2.00
B2B_B,25,2.00
B2B_B,26,2.00
B2B_B,27,1.00
B2B_B,28,0.00
B2B_B,29,0.00
B2B_B,30,0.00
B2B_B,31,0.00
B2B_B,32,0.00
B2B_B,33,1.00
B2B_B,34,1.00
B2B_B,35,1.00
B2B_B,36,0.00
B2B_B,37,0.00
B2B_B,38,0.00
B2B_B,39,1.00
B2B_B,40,0.00
LabBlank2A_B_20241210,1,0.00
LabBlank2A_B_20241210,2,0.00
LabBlank2A_B_20241210,3,0.00
LabBlank2A_B_20241210,4,0.00
LabBlank2A_B_20241210,5,0.00
LabBlank2A_B_20241210,6,0.00
LabBlank2A_B_20241210,7,0.00
LabBlank2A_B_20241210,8,0.00
LabBlank2A_B_20241210,9,0.00
LabBlank2A_B_20241210,10,0.00
LabBlank2A_B_20241210,11,0.00
LabBlank2A_B_20241210,12,0.00
LabBlank2A_B_20241210,13,0.00
LabBlank2A_B_20241210,14,0.00
LabBlank2A_B_20241210,15,0.00
LabBlank2A_B_20241210,16,0.00
LabBlank2A_B_20241210,17,0.00
LabBlank2A_B_20241210,18,0.00
LabBlank2A_B_20241210,19,0.00
LabBlank2A_B_20241210,20,0.00
LabBlank2A_B_20241210,21,0.00
LabBlank2A_B_20241210,22,0.00
LabBlank2A_B_20241210,23,0.00
LabBlank2A_B_20241210,24,0.00
LabBlank2A_B_20241210,25,0.00
LabBlank2A_B_20241210,26,0.00
LabBlank2A_B_20241210,27,0.00
LabBlank2A_B_20241210,28,0.00
LabBlank2A_B_20241210,29,0.00
LabBlank2A_B_20241210,30,0.00
LabBlank2A_B_20241210,31,0.00
LabBlank2A_B_20241210,32,0.00
LabBlank2A_B_20241210,33,0.00
LabBlank2A_B_20241210,34,0.00
LabBlank2A_B_20241210,35,0.00
LabBlank2A_B_20241210,36,0.00
LabBlank2A_B_20241210,37,0.00
LabBlank2A_B_20241210,38,0.00
LabBlank2A_B_20241210,39,0.00
LabBlank2A_B_20241210,40,0.00
FieldBlank1B_B,1,0.00
FieldBlank1B_B,2,0.00
FieldBlank1B_B,3,0.00
FieldBlank1B_B,4,0.00
FieldBlank1B_B,5,0.00
FieldBlank1B_B,6,0.00
FieldBlank1B_B,7,1.00
FieldBlank1B_B,8,0.00
FieldBlank1B_B,9,0.00
FieldBlank1B_B,10,0.00
FieldBlank1B_B,11,0.00
FieldBlank1B_B,12,0.00
FieldBlank1B_B,13,0.00
FieldBlank1B_B,14,0.00
FieldBlank1B_B,15,0.00
FieldBlank1B_B,16,1.00
FieldBlank1B_B,17,0.00
FieldBlank1B_B,18,0.00
FieldBlank1B_B,19,1.00
FieldBlank1B_B,20,0.00
FieldBlank1B_B,21,0.00
FieldBlank1B_B,22,0.00
FieldBlank1B_B,23,1.00
FieldBlank1B_B,24,0.00
FieldBlank1B_B,25,0.00
FieldBlank1B_B,26,0.00
FieldBlank1B_B,27,0.00
FieldBlank1B_B,28,0.00
FieldBlank1B_B,29,0.00
FieldBlank1B_B,30,0.00
FieldBlank1B_B,31,0.00
FieldBlank1B_B,32,0.00
FieldBlank1B_B,33,0.00
FieldBlank1B_B,34,0.00
FieldBlank1B_B,35,0.00
FieldBlank1B_B,36,0.00
FieldBlank1B_B,37,0.00
FieldBlank1B_B,38,0.00
FieldBlank1B_B,39,0.00
FieldBlank1B_B,40,0.00
B3B_B,1,0.00
B3B_B,2,0.00
B3B_B,3,1.00
B3B_B,4,0.00
B3B_B,5,1.00
B3B_B,6,0.00
B3B_B,7,0.00
B3B_B,8,1.00
B3B_B,9,0.00
B3B_B,10,0.00
B3B_B,11,0.00
B3B_B,12,0.00
B3B_B,13,0.00
B3B_B,14,0.00
B3B_B,15,0.00
B3B_B,16,0.00
B3B_B,17,1.00
B3B_B,18,0.00
B3B_B,19,0.00
B3B_B,20,0.00
B3B_B,21,0.00
B3B_B,22,0.00
B3B_B,23,1.00
B3B_B,24,0.00
B3B_B,25,0.00
B3B_B,26,0.00
B3B_B,27,0.00
B3B_B,28,0.00
B3B_B,29,2.00
B3B_B,30,0.00
B3B_B,31,1.00
B3B_B,32,0.00
B3B_B,33,0.00
B3B_B,34,0.00
B3B_B,35,0.00
B3B_B,36,1.00
B3B_B,37,0.00
B3B_B,38,0.00
B3B_B,39,0.00
B3B_B,40,0.00
LabBlank_B_20250205,1,0.00
LabBlank_B_20250205,2,0.00
LabBlank_B_20250205,3,2.00
LabBlank_B_20250205,4,0.00
LabBlank_B_20250205,5,0.00
LabBlank_B_20250205,6,0.00
LabBlank_B_20250205,7,0.00
LabBlank_B_20250205,8,0.00
LabBlank_B_20250205,9,0.00
LabBlank_B_20250205,10,0.00
LabBlank_B_20250205,11,0.00
LabBlank_B_20250205,12,0.00
LabBlank_B_20250205,13,0.00
LabBlank_B_20250205,14,0.00
LabBlank_B_20250205,15,0.00
LabBlank_B_20250205,16,0.00
LabBlank_B_20250205,17,0.00
LabBlank_B_20250205,18,0.00
LabBlank_B_20250205,19,0.00
LabBlank_B_20250205,20,0.00
LabBlank_B_20250205,21,0.00
LabBlank_B_20250205,22,0.00
LabBlank_B_20250205,23,1.00
LabBlank_B_20250205,24,0.00
LabBlank_B_20250205,25,0.00
LabBlank_B_20250205,26,0.00
LabBlank_B_20250205,27,0.00
LabBlank_B_20250205,28,0.00
LabBlank_B_20250205,29,1.00
LabBlank_B_20250205,30,0.00
LabBlank_B_20250205,31,0.00
LabBlank_B_20250205,32,0.00
LabBlank_B_20250205,33,0.00
LabBlank_B_20250205,34,0.00
LabBlank_B_20250205,35,0.00
LabBlank_B_20250205,36,0.00
LabBlank_B_20250205,37,0.00
LabBlank_B_20250205,38,0.00
LabBlank_B_20250205,39,0.00
LabBlank_B_20250205,40,0.00
LabBlank_C_20240503,1,0.00
LabBlank_C_20240503,2,0.00
LabBlank_C_20240503,3,0.00
LabBlank_C_20240503,4,0.00
LabBlank_C_20240503,5,0.00
LabBlank_C_20240503,6,0.00
LabBlank_C_20240503,7,0.00
LabBlank_C_20240503,8,0.00
LabBlank_C_20240503,9,3.00
LabBlank_C_20240503,10,0.00
LabBlank_C_20240503,11,0.00
LabBlank_C_20240503,12,0.00
LabBlank_C_20240503,13,1.00
LabBlank_C_20240503,14,0.00
LabBlank_C_20240503,15,0.00
LabBlank_C_20240503,16,0.00
LabBlank_C_20240503,17,0.00
LabBlank_C_20240503,18,0.00
LabBlank_C_20240503,19,0.00
LabBlank_C_20240503,20,0.00
LabBlank_C_20240503,21,0.00
LabBlank_C_20240503,22,0.00
LabBlank_C_20240503,23,0.00
LabBlank_C_20240503,24,0.00
LabBlank_C_20240503,25,0.00
LabBlank_C_20240503,26,0.00
LabBlank_C_20240503,27,0.00
LabBlank_C_20240503,28,0.00
LabBlank_C_20240503,29,0.00
LabBlank_C_20240503,30,0.00
LabBlank_C_20240503,31,0.00
LabBlank_C_20240503,32,0.00
LabBlank_C_20240503,33,0.00
LabBlank_C_20240503,34,0.00
LabBlank_C_20240503,35,2.00
LabBlank_C_20240503,36,1.00
LabBlank_C_20240503,37,0.00
LabBlank_C_20240503,38,0.00
LabBlank_C_20240503,39,0.00
LabBlank_C_20240503,40,1.00
LabBlank_B_20240807,1,0.00
LabBlank_B_20240807,2,0.00
LabBlank_B_20240807,3,0.00
LabBlank_B_20240807,4,0.00
LabBlank_B_20240807,5,0.00
LabBlank_B_20240807,6,0.00
LabBlank_B_20240807,7,0.00
LabBlank_B_20240807,8,0.00
LabBlank_B_20240807,9,0.00
LabBlank_B_20240807,10,0.00
LabBlank_B_20240807,11,0.00
LabBlank_B_20240807,12,0.00
LabBlank_B_20240807,13,0.00
LabBlank_B_20240807,14,0.00
LabBlank_B_20240807,15,0.00
LabBlank_B_20240807,16,0.00
LabBlank_B_20240807,17,0.00
LabBlank_B_20240807,18,0.00
LabBlank_B_20240807,19,0.00
LabBlank_B_20240807,20,0.00
LabBlank_B_20240807,21,0.00
LabBlank_B_20240807,22,0.00
LabBlank_B_20240807,23,0.00
LabBlank_B_20240807,24,0.00
LabBlank_B_20240807,25,0.00
LabBlank_B_20240807,26,0.00
LabBlank_B_20240807,27,0.00
LabBlank_B_20240807,28,0.00
LabBlank_B_20240807,29,0.00
LabBlank_B_20240807,30,0.00
LabBlank_B_20240807,31,0.00
LabBlank_B_20240807,32,0.00
LabBlank_B_20240807,33,0.00
LabBlank_B_20240807,34,0.00
LabBlank_B_20240807,35,0.00
LabBlank_B_20240807,36,0.00
LabBlank_B_20240807,37,0.00
LabBlank_B_20240807,38,0.00
LabBlank_B_20240807,39,0.00
LabBlank_B_20240807,40,0.00
LabBlank_B_20241119,1,0.00
LabBlank_B_20241119,2,2.00
LabBlank_B_20241119,3,1.00
LabBlank_B_20241119,4,0.00
LabBlank_B_20241119,5,0.00
LabBlank_B_20241119,6,0.00
LabBlank_B_20241119,7,0.00
LabBlank_B_20241119,8,0.00
LabBlank_B_20241119,9,0.00
LabBlank_B_20241119,10,0.00
LabBlank_B_20241119,11,0.00
LabBlank_B_20241119,12,0.00
LabBlank_B_20241119,13,0.00
LabBlank_B_20241119,14,0.00
LabBlank_B_20241119,15,0.00
LabBlank_B_20241119,16,1.00
LabBlank_B_20241119,17,0.00
LabBlank_B_20241119,18,0.00
LabBlank_B_20241119,19,0.00
LabBlank_B_20241119,20,0.00
