DATE_UTC,DateTime_MDT,DateTime_UTC,Day,SampleID,Platform,FilterType,Sampler,SampleType,FlowRate,Volume_L,SamplingDuration_dmin,SampleStart_UTC,SampleEnd_UTC,Notes
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,B7B,Blue,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,R10A,Red,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,R10B,Red,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,B7,Blue,Quartz,Cassette,Smoke,2,38.36666667,19.18333333,0:17:00,0:36:11,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8A,Blue,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8B,Blue,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,R11A,Red,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,R11B,Red,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8,Blue,Quartz,Cassette,Smoke,2,32,16,0:45:00,1:01:00,
10/10/2023,10/9/2023 19:44,10/10/2023 1:44,2,Blank2B,Blank,PTFE,Button,FieldBlank,4,NA,NA,1:44:00,NA,
10/10/2023,10/10/2023 14:52,10/10/2023 20:52,3,Blank3A,Blank,PTFE,Button,FieldBlank,4,NA,NA,20:52:00,NA,
10/10/2023,10/10/2023 14:52,10/10/2023 20:52,3,Blank3B,Blank,PTFE,Button,FieldBlank,4,NA,NA,20:52:00,NA,
10/10/2023,10/10/2023 14:58,10/10/2023 20:58,3,B_pre9A,Blue,NA,CO_CO2,Ambient,NA,NA,10,20:58:00,21:08:00,Ambient threshold for sample 9
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9A,Blue,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9B,Blue,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
