time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-09 21:17:50,38.4981564612537,-112.064381761115,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9819.6614520244,0.656168,0,0,0,17,5,0,9819.6614520244,0,0,0,0,0,0,149.3, -6.4, 0.6,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,6,P-GPS,
100,2023-10-09 21:17:50,38.4981564492132,-112.06438177959,0,,,9819.6614520244,0.656168,0,0.0068649280412,0.0068649280412,17,5,0,9819.6614520244,0,0,0.0068649280412,0,0,0,149.3, -6.4, 0.6,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
200,2023-10-09 21:17:50,38.4981564546692,-112.064381768597,0,,,9819.6614520244,0.656168,0,0.00321488527348,0.010581857294,17,5,0,9819.6614520244,0,0,0.0068649280412,0,0,0,149.3, -6.4, 0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
300,2023-10-09 21:17:50,38.4981564449704,-112.06438178599,0,,,9819.6614520244,0.656168,0,0.0092599412412,0.0166800530272,17,5,0,9819.6614520244,0,0,0.0092599412412,0,0,0,149.3, -6.4, 0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
400,2023-10-09 21:17:50,38.498156449369,-112.064381776818,0,,,9819.6614520244,0.656168,0,0.00623769705,0.0197515426268,17,5,0,9819.6614520244,0,0,0.0092599412412,0,0,0,149.3, -6.4, 0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 41. Setting new Maximum Flight Altitude to 500m (1640 ft)"
500,2023-10-09 21:17:50,38.498156441681,-112.064381637693,0,,,9819.6614520244,0.656168,0,0.035958334484,0.059576445476,17,5,0,9819.6614520244,0,0,0.035958334484,0,0,0,149.3, -6.4, 0.5,0,0,364,364,404,1684,-100,-100,-94,100,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
600,2023-10-09 21:17:50,38.4981564449867,-112.064381616809,0,,,9819.6614520244,0.656168,0,0.04163057876,0.065660435172,17,5,0,9819.6614520244,0,0,0.04163057876,0,0,0,149.3, -6.4, 0.5,0,0,606,521,1021,1024,-63,-76,-0,0,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
700,2023-10-09 21:17:50,38.4981564389284,-112.064381654382,0,,,9819.6614520244,0.656168,0,0.0315463920856,0.07661417568,17,5,0,9819.6614520244,0,0,0.04163057876,0,0,0,149.3, -6.5, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
800,2023-10-09 21:17:50,38.4981564425308,-112.064381638523,0,,,9819.6614520244,0.656168,0,0.035665355472,0.081329398928,17,5,0,9819.6614520244,0,0,0.04163057876,0,0,0,149.3, -6.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
900,2023-10-09 21:17:51,38.4981564342479,-112.06438166918,0,,,9819.6614520244,0.656168,0,0.0280393053592,0.090590225996,17,5,0,9819.6614520244,0,0,0.04163057876,0,0,0,149.2, -6.5, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,3.869,3.873,3.878,3.878,3.88,3.881,0,91.22,9819.6614520244,0,41,Motors_Started,
