time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-10 00:16:40,38.4981560913682,-112.064373646865,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9819.5084638306,0.656168,0,0,0,16,5,0,9819.5084638306,0,0,0,0,0,0,142.5, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 42. Setting new Maximum Flight Altitude to 500m (1640 ft)"
100,2023-10-10 00:16:40,38.4981561192631,-112.064373633861,0,,,9819.5084638306,0.656168,0,0.0108336289556,0.0108336289556,16,5,0,9819.5084638306,0,0,0.0108336289556,0,0,0,142.5, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
200,2023-10-10 00:16:40,38.4981560644791,-112.064373665286,0,,,9819.5084638306,0.656168,0,0.011131562036,0.0327432425176,16,5,0,9819.5084638306,0,0,0.011131562036,0,0,0,142.5, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
300,2023-10-10 00:16:40,38.4981560857023,-112.064373656861,0,,,9819.5084638306,0.656168,0,0.0035241799028,0.040851707344,16,5,0,9819.5084638306,0,0,0.011131562036,0,0,0,142.5, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
400,2023-10-10 00:16:40,38.4981562092494,-112.064373517536,0,,,9819.5084638306,0.656168,0,0.056687665856,0.10097277226,16,5,0,9819.5084638306,0,0,0.056687665856,0,0,0,142.5, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
500,2023-10-10 00:16:40,38.498156240746,-112.064373498656,0,,,9819.5084638306,0.656168,0,0.069001970712,0.113666014136,16,5,0,9819.5084638306,0,0,0.069001970712,0,0,0,142.5, -6.6, -0.5,0,0,423,364,497,1604,-91,-100,-80,88,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
600,2023-10-10 00:16:40,38.4981561831112,-112.064373540837,0,,,9819.5084638306,0.656168,0,0.045133203544,0.137898954544,16,5,0,9819.5084638306,0,0,0.069001970712,0,0,0,142.4, -6.7, -0.5,0,0,962,960,939,1024,-9,-10,-13,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
700,2023-10-10 00:16:40,38.4981562087553,-112.064373527575,0,,,9819.5084638306,0.656168,0,0.054722114612,0.147992786888,16,5,0,9819.5084638306,0,0,0.069001970712,0,0,0,142.4, -6.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
800,2023-10-10 00:16:40,38.4981563245121,-112.06437339386,0,,,9819.5084638306,0.656168,0,0.111600725356,0.204926843828,16,5,0,9819.5084638306,0,0,0.111600725356,0,0,0,142.4, -6.7, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
900,2023-10-10 00:16:40,38.4981563603042,-112.064373371879,0,,,9819.5084638306,0.656168,0,0.125670607696,0.219415689436,16,5,0,9819.5084638306,0,0,0.125670607696,0,0,0,142.4, -6.7, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.3,4.311,4.318,4.293,4.309,4.3,0,32,9819.5084638306,0,41,Motors_Started,
